Type,SKU item_sku,Title,Product Description,standard_price,img_src1,img_src2,img_src3
Pendants,CP004-WA-K,0.28 Carat Black Diamond Flower Cross Pendant in 10K White Gold,"7 sparkling black Diamonds create a stunning flower in the center of a cross crafted in shimmering 10K white gold. Diamonds weigh 0.28 carat total weight and have an I-J Color and I1-I2 Clarity. This simply beautiful Diamond flower cross pendant hangs from an 18"" rope chain also crafted in 10K white gold. A simple but an elegant look of this pendant can surely please your loved ones!!",329,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP004-YA-B,0.28 Carat Diamond Flower Cross Pendant in 10K Yellow Gold,"7 sparkling Diamonds create a stunning flower in the center of a cross crafted in shimmering 10K yellow gold. Diamonds weigh 0.28 carat total weight and have an I-J Color and I1-I2 Clarity. This simply beautiful Diamond flower cross pendant hangs from an 18"" rope chain also crafted in 10K yellow gold. A simple but an elegant look of this pendant can surely please your loved ones!!",374.24,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP004-YA-E,0.28 Carat Blue Diamond Flower Cross Pendant in 10K Yellow Gold,"7 sparkling blue Diamonds create a stunning flower in the center of a cross crafted in shimmering 10K yellow gold. Diamonds weigh 0.28 carat total weight and have an I-J Color and I1-I2 Clarity. This simply beautiful Diamond flower cross pendant hangs from an 18"" rope chain also crafted in 10K yellow gold. A simple but an elegant look of this pendant can surely please your loved ones!!",354,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP004-YA-K,0.28 Carat Black Diamond Flower Cross Pendant in 10K Yellow Gold,"7 sparkling balck Diamonds create a stunning flower in the center of a cross crafted in shimmering 10K yellow gold. Diamonds weigh 0.28 carat total weight and have an I-J Color and I1-I2 Clarity. This simply beautiful Diamond flower cross pendant hangs from an 18"" rope chain also crafted in 10K yellow gold. A simple but an elegant look of this pendant can surely please your loved ones!!",329,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP005-WA-B,3 Stone Diamond Cross Pendant in 10K White Gold,"3 Sparkling Diamonds are channel set in the center of this beautiful cross crafted in shiny 10K white gold. Diamonds weigh 0.06 carat total weight and have I-J Color and I1-I2 Clarity. This pendant hangs from a sleek 18"" rope chain also crafted in 10K white gold. The simplicity of this Diamond cross pendant can surely win your loved ones heart in no time!!",169.99,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP005-YA-B,3 Stone Diamond Cross Pendant in 10K Yellow Gold,"3 Sparkling Diamonds are channel set in the center of this beautiful cross crafted in shiny 10K yellow gold. Diamonds weigh 0.06 carat total weight and have I-J Color and I1-I2 Clarity. This pendant hangs from a sleek 18"" rope chain also crafted in 10K yellow gold. The simplicity of this Diamond cross pendant can surely win your loved ones heart in no time!!",169.99,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP006-WA-D,3 Stone Diamond Ribbon Cross Pendant in 10K White Gold,"A ribbon decorated with 3 sparkling Diamonds is classically wrapped around a stunning cross crafted in 10K white gold. Diamonds weigh 0.015 carat total weight and have I-J Color and I1-I2 Clarity. This uniquely crafted Diamond cross pendant hangs from an 18"" rope chain also crafted in shimmering 10K white gold. Fall in love at first sight with this stylish Diamond ribbon cross pendant!!",120.62,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP006-YA-D,3 Stone Diamond Ribbon Cross Pendant in 10K Yellow Gold,"A ribbon decorated with 3 sparkling Diamonds is classically wrapped around a stunning cross crafted in 10K yellow gold. Diamonds weigh 0.015 carat total weight and have I-J Color and I1-I2 Clarity. This uniquely crafted Diamond cross pendant hangs from an 18"" rope chain also crafted in shimmering 10K yellow gold. Fall in love at first sight with this stylishDiamond ribbon cross pendant!!",120.62,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP007-WA-B,4 Stone Diamond Flower Cross Pendant in 10K White Gold,"4 sparkling Diamonds create a tiny flower in the center of a cross crafted in shinning 10K white gold. Diamonds weigh 0.04 carat total weight and have I-J Color and I1-I2 Clarity. This pendant hangs from an 18"" rope chain also crafted in 10K white gold. Let this magical Diamond flower cross pendant bring wonderful memories for you and your loved ones to be treasured forever!!",105.8,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP007-YA-B,4 Stone Diamond Flower Cross Pendant in 10K Yellow Gold,"4 sparkling Diamonds create a tiny flower in the center of a cross crafted in shinning 10K yellow gold.Diamonds weigh 0.04 carat total weight and have I-J Color and I1-I2 Clarity. This pendant hangs from an 18"" rope chain also crafted in 10K yellow gold. Let this magical Diamond flower cross pendant bring wonderful memories for you and your loved ones to be treasured forever!!",105.8,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP008-WA-D,7 Stone Diamond Heart and Cross Pendant in 10K White Gold,"7 sparkling round Diamonds create a heart in the center connecting the cross in a very unique way. The cross is crafted in shimmering 10K white gold. Diamonds weigh 0.0525 carat total weight and have I-J Color and I1-I2 Clarity. The pendant hangs from an 18"" rope chain also crafted in 10K white gold. This brilliantly craftedDiamond heart and cross pendant is not only great for any special ocassion but even for a casual wear!!",131.15,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP008-YA-D,7 Stone Diamond Heart and Cross Pendant in 10K Yellow Gold,"7 sparkling round Diamonds create a heart in the center connecting the cross in a very unique way. The cross is crafted in shimmering 10K yellow gold. Diamonds weigh 0.0525 carat total weight and have I-J Color and I1-I2 Clarity. The pendant hangs from an 18"" rope chain also crafted in 10K yellow gold. This brilliantly craftedDiamond heart and cross pendant is not only great for any special ocassion but even for a casual wear!!",131.15,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP009-WA-B,0.24 Carat Diamond Cross Pendant in 10K White Gold,"A beautiful cross crafted in shimmering 10K white gold is decorated with 23 stunning Diamonds. Diamonds weigh 0.24 carat total weight and have I-J Color and I1-I2 Clarity. Pendant hangs from an 18"" rope chain also crafted in 10K white gold. This sparkling Diamond cross pendant can surely sparkle your world with happiness and prosperity!!",179.9,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP009-YA-B,0.24 Carat Diamond Cross Pendant in 10K Yellow Gold,"A beautiful cross crafted in shimmering 10K yellow gold is decorated with 23 stunning Diamonds.Diamonds weigh 0.24 carat total weight and have I-J Color and I1-I2 Clarity. Pendant hangs from an 18"" rope chain also crafted in 10K yellow gold. This sparkling Diamond cross pendant can surely sparkle your world with happiness and prosperity!!",179.9,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP010-WA-B,0.06 Carat Diamond Cross Pendant in 10K White Gold,"A shimmering 10K white gold cross holds a sparkling roundDiamond in the center. Diamond weighs 0.06 carat total weight and has I-J Color and I1-I2 Clarity. Pendant hangs from an 18"" rope chain also crafted in 10K white gold. This uniquely designed Diamond cross pendant can suit any style and taste!!",160.4,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP010-WA-E,0.06 Carat Blue Diamond Cross Pendant in 10K White Gold,"A shimmering 10K white gold cross holds a sparkling round blue Diamond in the center. Diamond weighs 0.06 carat total weight and has I-J Color and I1-I2 Clarity. Pendant hangs from an 18"" rope chain also crafted in 10K white gold. This uniquely designed Diamond cross pendant can suit any style and taste!!",134,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP010-WA-K,0.06 Carat Black Diamond Cross Pendant in 10K White Gold,"A shimmering 10K white gold cross holds a sparkling round black Diamond in the center. Diamond weighs 0.06 carat total weight and has I-J Color and I1-I2 Clarity. Pendant hangs from an 18"" rope chain also crafted in 10K white gold. This uniquely designed Diamond cross pendant can suit any style and taste!!",124,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP010-YA-B,0.06 Carat Diamond Cross Pendant in 10K Yellow Gold,"A shimmering 10K yellow gold cross holds a sparkling round Diamond in the center. Diamond weighs 0.06 carat total weight and has I-J Color and I1-I2 Clarity. Pendant hangs from an 18"" rope chain also crafted in 10K yellow gold. This uniquely designed Diamond cross pendant can suit any style and taste!!",160.4,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP010-YA-E,0.06 Carat Blue Diamond Cross Pendant in 10K Yellow Gold,"A shimmering 10K yellow gold cross holds a sparkling round blueDiamond in the center.Diamond weighs 0.06 carat total weight and has I-J Color and I1-I2 Clarity. Pendant hangs from an 18"" rope chain also crafted in 10K yellow gold. This uniquely designedDiamond cross pendant can suit any style and taste!!",134,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP010-YA-K,0.06 Carat Black Diamond Cross Pendant in 10K Yellow Gold,"A shimmering 10K yellow gold cross holds a sparkling round black Diamond in the center.Diamond weighs 0.06 carat total weight and has I-J Color and I1-I2 Clarity. Pendant hangs from an 18"" rope chain also crafted in 10K yellow gold. This uniquely designed Diamond cross pendant can suit any style and taste!!",124,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,MPD0104-1/4-WA-DA,1/4Ct Ttw Interwined 5 Stone Diamond Pendant In 10K White Gold With 18'' Chain,"This pendant is 0.25 total carat weight, natural Diamond five stone interwined design pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Having 5 diamonds weighing 0.25 carat in total, 0.05 carat each, having Color J-K and Clarity I2-I3. There are total 5 stones in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Diamond pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Diamond pendant comes in a beautiful gift box.",219,https://drive.google.com/drive/folders/0B49l9mu8rsr6NEdUd0otWm1VbjA,https://drive.google.com/drive/folders/0B49l9mu8rsr6NEdUd0otWm1VbjA,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0104/1.jpg
Pendants,MPD0104-1/4-YA-DA,1/4Ct Ttw Interwined 5 Stone Diamond Pendant In 10K Yellow Gold With 18'' Chain,"This pendant is 0.25 total carat weight, natural Diamond five stone interwined design pendant crafted in 10k yellow gold, expresses love and harmony in delicate diamond design. Having 5 diamonds weighing 0.25 carat in total, 0.05 carat each, having Color J-K and Clarity I2-I3. There are total 5 stones in this pendant. This pendant comes with 18 inch rope chain in 10k yellow gold. Diamond pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Diamond pendant comes in a beautiful gift box.",219,https://drive.google.com/drive/folders/0B49l9mu8rsr6NEdUd0otWm1VbjA,https://drive.google.com/drive/folders/0B49l9mu8rsr6NEdUd0otWm1VbjA,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0104/2.jpg
Pendants,MPD0107-WA-DA,0.20Ct Ttw 3 Diamond Beautiful Heart Pendant In 10K White Gold With 18'' Chain,"This pendant is 0.20 total carat weight, natural 3 Diamonds Heart Pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Having 3 diamonds weighing 0.20 carat in total, having Color J-K and Clarity I2-I3. There are total 3 stones in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Diamond pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Diamond pendant comes in a beautiful gift box.",269,https://drive.google.com/drive/folders/0B49l9mu8rsr6RmJOUEJfYzI0dnc,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0107/6.jpg,
Pendants,MPD0107-YA-DA,0.20Ct Ttw 3 Diamond Beautiful Heart Pendant In 10K Yellow Gold With 18'' Chain,"This pendant is 0.20 total carat weight, natural 3 Diamonds Heart Pendant crafted in 10k yellow gold, expresses love and harmony in delicate diamond design. Having 3 diamonds weighing 0.20 carat in total, having Color J-K and Clarity I2-I3. There are total 3 stones in this pendant. This pendant comes with 18 inch rope chain in 10k yellow gold. Diamond pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Diamond pendant comes in a beautiful gift box.",269,https://drive.google.com/drive/folders/0B49l9mu8rsr6RmJOUEJfYzI0dnc,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0107/5.jpg,
Pendants,MPD0109-WA-DA,0.10Ct Beautiful Twin Hearts Diamond Pendant In 10K White Gold With 18'' Chain,"This pendant is 0.20 total carat weight, natural Diamond Twin Heart Pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Having 2 diamonds weighing 0.10 carat in total, 0.05 carat each. Featuring Color J-K and Clarity I2-I3. There are total 2 diamonds in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Diamond pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Diamond pendant comes in a beautiful gift box.",165,https://drive.google.com/drive/folders/0B49l9mu8rsr6VFNHYm9vZzNsTVE,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0109/9.jpg,
Pendants,MPD0109-YA-DA,0.10Ct Beautiful Twin Hearts Diamond Pendant In 10K Yellow Gold With 18'' Chain,"This pendant is 0.20 total carat weight, natural Diamond Twin Heart Pendant crafted in 10k yellow gold, expresses love and harmony in delicate diamond design. Having 2 diamonds weighing 0.10 carat in total, 0.05 carat each. Featuring Color J-K and Clarity I2-I3. There are total 2 diamonds in this pendant. This pendant comes with 18 inch rope chain in 10k yellow gold. Diamond pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Diamond pendant comes in a beautiful gift box.",165,https://drive.google.com/drive/folders/0B49l9mu8rsr6VFNHYm9vZzNsTVE,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0109/10.jpg,
Pendants,MPD0165-WA-DAQ,0.85Ct Ttw Beautiful Oval Shape Gemstone And Diamond Pendant In 10K White Gold With 18'' Rope Chain,"This pendant is 0.85 total carat weight, Oval Shape Gemstone Pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Centre Gemstone weighs 0.83 carat in total, Clarity of Gemstone is AA+. And 1 side Diamonds weighs 0.02 carats in total. Color of Diamond is I-K and Clarity I2-I3. There are total 2 stones in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Gemstone pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Gemstone pendant comes in a beautiful gift box.",189,Fill in the URL form google drive > Images > nycjd_images > Pendants,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0165/9.jpg,
Pendants,MPD0165-WA-DBT,0.85Ct Ttw Beautiful Oval Shape Gemstone And Diamond Pendant In 10K White Gold With 18'' Rope Chain,"This pendant is 0.85 total carat weight, Oval Shape Gemstone Pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Centre Gemstone weighs 0.83 carat in total, Clarity of Gemstone is AA+. And 1 side Diamonds weighs 0.02 carats in total. Color of Diamond is I-K and Clarity I2-I3. There are total 2 stones in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Gemstone pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Gemstone pendant comes in a beautiful gift box.",189,Fill in the URL form google drive > Images > nycjd_images > Pendants,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0165/17.jpg,
Pendants,MPD0165-WA-DCT,0.85Ct Ttw Beautiful Oval Shape Gemstone And Diamond Pendant In 10K White Gold With 18'' Rope Chain,"This pendant is 0.85 total carat weight, Oval Shape Gemstone Pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Centre Gemstone weighs 0.83 carat in total, Clarity of Gemstone is AA+. And 1 side Diamonds weighs 0.02 carats in total. Color of Diamond is I-K and Clarity I2-I3. There are total 2 stones in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Gemstone pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Gemstone pendant comes in a beautiful gift box.",189,Fill in the URL form google drive > Images > nycjd_images > Pendants,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0165/13.jpg,
Pendants,MPD0165-WA-DEM,0.85Ct Ttw Beautiful Oval Shape Gemstone And Diamond Pendant In 10K White Gold With 18'' Rope Chain,"This pendant is 0.85 total carat weight, Oval Shape Gemstone Pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Centre Gemstone weighs 0.83 carat in total, Clarity of Gemstone is AA+. And 1 side Diamonds weighs 0.02 carats in total. Color of Diamond is I-K and Clarity I2-I3. There are total 2 stones in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Gemstone pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Gemstone pendant comes in a beautiful gift box.",249,Fill in the URL form google drive > Images > nycjd_images > Pendants,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0165/8.jpg,
Pendants,MPD0165-WA-DGT,0.85Ct Ttw Beautiful Oval Shape Gemstone And Diamond Pendant In 10K White Gold With 18'' Rope Chain,"This pendant is 0.85 total carat weight, Oval Shape Gemstone Pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Centre Gemstone weighs 0.83 carat in total, Clarity of Gemstone is AA+. And 1 side Diamonds weighs 0.02 carats in total. Color of Diamond is I-K and Clarity I2-I3. There are total 2 stones in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Gemstone pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Gemstone pendant comes in a beautiful gift box.",189,Fill in the URL form google drive > Images > nycjd_images > Pendants,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0165/12.jpg,
Pendants,MPD0165-WA-DPD,0.85Ct Ttw Beautiful Oval Shape Gemstone And Diamond Pendant In 10K White Gold With 18'' Rope Chain,"This pendant is 0.85 total carat weight, Oval Shape Gemstone Pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Centre Gemstone weighs 0.83 carat in total, Clarity of Gemstone is AA+. And 1 side Diamonds weighs 0.02 carats in total. Color of Diamond is I-K and Clarity I2-I3. There are total 2 stones in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Gemstone pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Gemstone pendant comes in a beautiful gift box.",189,Fill in the URL form google drive > Images > nycjd_images > Pendants,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0165/20.jpg,
Pendants,MPD0165-WA-DPTO,0.85Ct Ttw Beautiful Oval Shape Gemstone And Diamond Pendant In 10K White Gold With 18'' Rope Chain,"This pendant is 0.85 total carat weight, Oval Shape Gemstone Pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Centre Gemstone weighs 0.83 carat in total, Clarity of Gemstone is AA+. And 1 side Diamonds weighs 0.02 carats in total. Color of Diamond is I-K and Clarity I2-I3. There are total 2 stones in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Gemstone pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Gemstone pendant comes in a beautiful gift box.",189,Fill in the URL form google drive > Images > nycjd_images > Pendants,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0165/16.jpg,
Pendants,MPD0165-WA-DRB,0.85Ct Ttw Beautiful Oval Shape Gemstone And Diamond Pendant In 10K White Gold With 18'' Rope Chain,"This pendant is 0.85 total carat weight, Oval Shape Gemstone Pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Centre Gemstone weighs 0.83 carat in total, Clarity of Gemstone is AA+. And 1 side Diamonds weighs 0.02 carats in total. Color of Diamond is I-K and Clarity I2-I3. There are total 2 stones in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Gemstone pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Gemstone pendant comes in a beautiful gift box.",249,Fill in the URL form google drive > Images > nycjd_images > Pendants,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0165/1.jpg,
Pendants,MPD0165-WA-DSP,0.85Ct Ttw Beautiful Oval Shape Gemstone And Diamond Pendant In 10K White Gold With 18'' Rope Chain,"This pendant is 0.85 total carat weight, Oval Shape Gemstone Pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Centre Gemstone weighs 0.83 carat in total, Clarity of Gemstone is AA+. And 1 side Diamonds weighs 0.02 carats in total. Color of Diamond is I-K and Clarity I2-I3. There are total 2 stones in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Gemstone pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Gemstone pendant comes in a beautiful gift box.",249,Fill in the URL form google drive > Images > nycjd_images > Pendants,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0165/5.jpg,
Pendants,MPD0165-WA-DTZ,0.85Ct Ttw Beautiful Oval Shape Gemstone And Diamond Pendant In 10K White Gold With 18'' Rope Chain,"This pendant is 0.85 total carat weight, Oval Shape Gemstone Pendant crafted in 10k white gold, expresses love and harmony in delicate diamond design. Centre Gemstone weighs 0.83 carat in total, Clarity of Gemstone is AA+. And 1 side Diamonds weighs 0.02 carats in total. Color of Diamond is I-K and Clarity I2-I3. There are total 2 stones in this pendant. This pendant comes with 18 inch rope chain in 10k white gold. Gemstone pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Gemstone pendant comes in a beautiful gift box.",249,Fill in the URL form google drive > Images > nycjd_images > Pendants,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0165/4.jpg,
Pendants,MPD0165-YA-DAQ,0.85Ct Ttw Beautiful Oval Shape Gemstone And Diamond Pendant In 10K Yellow Gold With 18'' Rope Chain,"This pendant is 0.85 total carat weight, Oval Shape Gemstone Pendant crafted in 10k yellow gold, expresses love and harmony in delicate diamond design. Centre Gemstone weighs 0.83 carat in total, Clarity of Gemstone is AA+. And 1 side Diamonds weighs 0.02 carats in total. Color of Diamond is I-K and Clarity I2-I3. There are total 2 stones in this pendant. This pendant comes with 18 inch rope chain in 10k yellow gold. Gemstone pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Gemstone pendant comes in a beautiful gift box.",189,Fill in the URL form google drive > Images > nycjd_images > Pendants,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0165/10.jpg,
Pendants,MPD0165-YA-DBT,0.85Ct Ttw Beautiful Oval Shape Gemstone And Diamond Pendant In 10K Yellow Gold With 18'' Rope Chain,"This pendant is 0.85 total carat weight, Oval Shape Gemstone Pendant crafted in 10k yellow gold, expresses love and harmony in delicate diamond design. Centre Gemstone weighs 0.83 carat in total, Clarity of Gemstone is AA+. And 1 side Diamonds weighs 0.02 carats in total. Color of Diamond is I-K and Clarity I2-I3. There are total 2 stones in this pendant. This pendant comes with 18 inch rope chain in 10k yellow gold. Gemstone pendant with an antique design, A perfect gift for someone you love, ideal for daily wear. This Gemstone pendant comes in a beautiful gift box.",189,Fill in the URL form google drive > Images > nycjd_images > Pendants,http://i1180.photobucket.com/albums/x405/parijatjewels/PD-ON%20PENDANTS%20FROM%20PD0101/MPD0165/18.jpg,
